[VAMS][2018-04-25 10:44:18,307] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 11:15:44,478] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:15:45,993] INFO | 捕获异常:远程主机强迫关闭了一个现有的连接.... | [NioProcessor-2] com.huir.mina.customservice.CustomServiceHandler.exceptionCaught(17)
[VAMS][2018-04-25 11:15:45,996] INFO | sessionClosed !!! | [NioProcessor-2] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 11:18:29,712] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 11:18:34,475] INFO | 12;Telnet:发送请求连接消息;15  ---------------> 12;Telnet:发送请求连接消息;15 | [main] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:18:34,479] INFO | 断开连接 | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionClosed(54)
[VAMS][2018-04-25 11:18:37,480] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:18:37,480] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:18:40,480] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:18:40,480] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:18:43,482] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:18:43,482] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:18:46,482] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:18:46,482] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:18:49,482] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:18:49,482] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:18:52,482] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:18:52,482] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:18:55,482] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:18:55,482] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:18:58,482] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:18:58,482] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:19:01,483] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:19:01,483] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:19:04,483] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:19:04,483] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:19:07,483] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:19:07,483] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:19:10,483] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:19:10,483] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:19:13,483] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:19:13,483] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:19:16,483] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:19:16,483] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:19:19,484] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:19:19,484] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:19:22,484] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:19:22,484] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:19:25,484] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:19:25,484] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:19:28,484] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:19:28,484] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:19:31,484] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:19:31,484] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:19:34,485] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:19:34,485] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:19:37,485] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:19:37,485] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:19:40,485] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(119)
[VAMS][2018-04-25 11:19:40,485] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(129)
[VAMS][2018-04-25 11:20:13,759] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 11:20:19,643] INFO | 开始连接服务器...... | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(117)
[VAMS][2018-04-25 11:20:19,655] INFO | session (0x00000001: nio socket, client, /127.0.0.1:53640 => /127.0.0.1:7485) | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(123)
[VAMS][2018-04-25 11:20:19,657] INFO | 12;Telnet:发送请求连接消息;15  ---------------> 12;Telnet:发送请求连接消息;15 | [main] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:20:19,659] INFO | 断开连接 | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionClosed(54)
[VAMS][2018-04-25 11:20:22,660] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 11:20:22,661] INFO | 重连成功!!   ip [/127.0.0.1]  host[7485] | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(64)
[VAMS][2018-04-25 11:20:42,662] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-3] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:20:42,662] INFO | 14;客户端发送心跳包;8  ---------------> 14;客户端发送心跳包;8 | [NioProcessor-3] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:20:42,663] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:20:42,663] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-3] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:20:42,663] INFO | 断开连接 | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionClosed(54)
[VAMS][2018-04-25 11:20:45,665] INFO | 开始重连服务器 | [NioProcessor-3] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 11:20:45,666] INFO | 重连成功!!   ip [/127.0.0.1]  host[7485] | [NioProcessor-3] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(64)
[VAMS][2018-04-25 11:21:05,667] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-4] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:21:05,667] INFO | 14;客户端发送心跳包;8  ---------------> 14;客户端发送心跳包;8 | [NioProcessor-4] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:21:05,668] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-4] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:21:05,668] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-4] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:21:05,668] INFO | 断开连接 | [NioProcessor-4] com.huir.mina.customtelnet.CustomTelnetHandler.sessionClosed(54)
[VAMS][2018-04-25 11:21:08,672] INFO | 开始重连服务器 | [NioProcessor-4] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 11:21:08,672] INFO | 重连成功!!   ip [/127.0.0.1]  host[7485] | [NioProcessor-4] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(64)
[VAMS][2018-04-25 11:21:25,440] INFO | 捕获异常:远程主机强迫关闭了一个现有的连接.... | [NioProcessor-5] com.huir.mina.customservice.CustomServiceHandler.exceptionCaught(17)
[VAMS][2018-04-25 11:21:25,456] INFO | sessionClosed !!! | [NioProcessor-5] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 11:21:30,531] INFO | 开始连接服务器...... | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(117)
[VAMS][2018-04-25 11:21:30,546] INFO | session (0x00000001: nio socket, client, /127.0.0.1:53680 => /127.0.0.1:7485) | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(123)
[VAMS][2018-04-25 11:21:30,546] INFO | 12;Telnet:发送请求连接消息;15  ---------------> 12;Telnet:发送请求连接消息;15 | [main] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:21:50,755] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:21:50,755] INFO | 14;客户端发送心跳包;8  ---------------> 14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:21:50,755] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:21:59,285] INFO | 捕获异常:远程主机强迫关闭了一个现有的连接.... | [NioProcessor-6] com.huir.mina.customservice.CustomServiceHandler.exceptionCaught(17)
[VAMS][2018-04-25 11:21:59,285] INFO | sessionClosed !!! | [NioProcessor-6] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 11:23:06,824] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 11:23:13,712] INFO | 开始连接服务器...... | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(117)
[VAMS][2018-04-25 11:23:13,728] INFO | session (0x00000001: nio socket, client, /127.0.0.1:53733 => /127.0.0.1:7485) | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(123)
[VAMS][2018-04-25 11:23:13,728] INFO | 12;Telnet:发送请求连接消息;15  ---------------> 12;Telnet:发送请求连接消息;15 | [main] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:23:33,874] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:23:33,874] INFO | 14;客户端发送心跳包;8  ---------------> 14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:23:33,874] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(58)
[VAMS][2018-04-25 11:23:43,982] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(58)
[VAMS][2018-04-25 11:24:14,274] WARN | A keep-alive response message was not received within 30 second(s). | [NioProcessor-2] org.apache.mina.filter.keepalive.KeepAliveRequestTimeoutHandler$2.keepAliveRequestTimedOut(49)
[VAMS][2018-04-25 11:24:14,274] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(58)
[VAMS][2018-04-25 11:24:14,274] INFO | 断开连接 | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionClosed(48)
[VAMS][2018-04-25 11:24:17,294] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 11:24:17,294] INFO | 重连成功!!   ip [/127.0.0.1]  host[7485] | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(64)
[VAMS][2018-04-25 11:24:37,462] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-3] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:24:37,462] INFO | 14;客户端发送心跳包;8  ---------------> 14;客户端发送心跳包;8 | [NioProcessor-3] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:24:37,462] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(58)
[VAMS][2018-04-25 11:24:47,557] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(58)
[VAMS][2018-04-25 11:25:03,003] INFO | 捕获异常:远程主机强迫关闭了一个现有的连接.... | [NioProcessor-3] com.huir.mina.customservice.CustomServiceHandler.exceptionCaught(17)
[VAMS][2018-04-25 11:25:03,003] INFO | sessionClosed !!! | [NioProcessor-3] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 11:27:08,278] INFO | 初始化成功......  开始监听端口:7485 | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 11:27:15,401] INFO | 12;Telnet:发送请求连接消息;15  ---------------> 12;Telnet:发送请求连接消息;15 | [main] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:28:15,412] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:28:15,414] INFO | 14;客户端发送心跳包;8  ---------------> 14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:28:15,415] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(58)
[VAMS][2018-04-25 11:28:15,417] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(58)
[VAMS][2018-04-25 11:28:15,428] INFO | 断开连接 | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionClosed(48)
[VAMS][2018-04-25 11:30:23,021] INFO | 初始化成功......  开始监听端口:7485 | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 11:30:26,660] INFO | 12;Telnet:发送请求连接消息;15  ---------------> 12;Telnet:发送请求连接消息;15 | [main] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:31:26,671] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:31:26,671] INFO | 14;客户端发送心跳包;8  ---------------> 14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:31:26,672] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(58)
[VAMS][2018-04-25 11:31:26,672] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(58)
[VAMS][2018-04-25 11:31:26,675] INFO | 断开连接 | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionClosed(48)
[VAMS][2018-04-25 11:31:38,026] INFO | 初始化成功......  开始监听端口:7485 | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 11:31:43,949] INFO | 12;Telnet:发送请求连接消息;15  ---------------> 12;Telnet:发送请求连接消息;15 | [main] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:32:43,959] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:32:43,961] INFO | 14;客户端发送心跳包;8  ---------------> 14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:32:43,963] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(58)
[VAMS][2018-04-25 11:32:43,964] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(58)
[VAMS][2018-04-25 11:32:43,974] INFO | 断开连接 | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionClosed(48)
[VAMS][2018-04-25 11:35:16,419] INFO | 初始化失败...... | [main] com.huir.mina.customservice.CustomMinaService.main(39)
[VAMS][2018-04-25 11:35:22,070] INFO | 12;Telnet:发送请求连接消息;15  ---------------> 12;Telnet:发送请求连接消息;15 | [main] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:36:22,077] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:36:22,077] INFO | 14;客户端发送心跳包;8  ---------------> 14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:36:22,078] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(58)
[VAMS][2018-04-25 11:36:22,078] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(58)
[VAMS][2018-04-25 11:36:22,081] INFO | 断开连接 | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionClosed(48)
[VAMS][2018-04-25 11:47:52,859] INFO | 初始化成功......  开始监听端口:7485 | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 11:47:58,764] INFO | 12;Telnet:发送请求连接消息;15  ---------------> 12;Telnet:发送请求连接消息;15 | [main] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:48:58,776] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:48:58,778] INFO | 14;客户端发送心跳包;8  ---------------> 14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:48:58,780] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(58)
[VAMS][2018-04-25 11:48:58,781] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(58)
[VAMS][2018-04-25 11:48:58,791] INFO | 断开连接 | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionClosed(48)
[VAMS][2018-04-25 11:52:34,529] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 11:52:38,919] INFO | 12;Telnet:发送请求连接消息;15  ---------------> 12;Telnet:发送请求连接消息;15 | [main] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:52:38,924] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2018-04-25 11:52:38,926] INFO | messageReceived：   服务端接收到的数据 -----> Telnet:发送请求连接消息 | [NioProcessor-2] com.huir.mina.customservice.CustomServiceHandler.messageReceived(36)
[VAMS][2018-04-25 11:52:38,928] INFO | 13;Service:连接成功;12  ---------------> 13;Service:连接成功;12 | [NioProcessor-2] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 11:52:38,931] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2018-04-25 11:52:38,933] INFO | 13 | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.messageReceived(31)
[VAMS][2018-04-25 11:52:38,933] INFO | messageReceived：   客户端端接收到的数据 -----> Service:连接成功 | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.messageReceived(36)
[VAMS][2018-04-25 11:52:45,541] INFO | 客户端断开连接 | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionClosed(49)
[VAMS][2018-04-25 11:52:45,541] INFO | 发送创建连接...... | [main] com.huir.mina.customtelnet.CustomMinaTelnet.main(70)
[VAMS][2018-04-25 13:35:29,030] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 13:37:17,136] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 13:38:17,422] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 13:38:20,982] INFO | 客户端连接成功..... | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(88)
[VAMS][2018-04-25 13:38:20,986] INFO | 12;Telnet:发送请求连接消息;15  ---------------> 12;Telnet:发送请求连接消息;15 | [main] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 13:38:20,989] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2018-04-25 13:38:20,991] INFO | messageReceived：   服务端接收到的数据 -----> Telnet:发送请求连接消息 | [NioProcessor-2] com.huir.mina.customservice.CustomServiceHandler.messageReceived(36)
[VAMS][2018-04-25 13:38:20,992] INFO | 13;Service:连接成功;12  ---------------> 13;Service:连接成功;12 | [NioProcessor-2] com.huir.mina.service.customcodefactory.CustomEnCode.encode(24)
[VAMS][2018-04-25 13:38:20,996] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2018-04-25 13:38:20,997] INFO | 13 | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.messageReceived(31)
